NUMBER,TIMES PULLED,TYPE,SHINY,TEAM,NATION,NAME
700,0,SERIE B TRIPLE PLAYER,NO,TERNANA,ND,ANIELLO SALZANO / ALFREDO DONNARUMMA / CESAR FALLETTI
701,0,SERIE B TRIPLE PLAYER,NO,TERNANA,ND,STEFANO PETTINARI / ANTHONY PARTIPILO / SIMONE MAZZOCCHI
702,0,SERIE C CRESTS,YES,ND,ND,ALBINOLEFFE / FERALPISALÒ / FIORENZUOLA / GIANA CRESTS
703,1,SERIE C CRESTS,YES,ND,ND,JUVENTUS U23 / LECCO / LEGNAGO / MANTOVA CRESTS
704,0,SERIE C CRESTS,YES,ND,ND,PADOVA / PERGOLETTESE / PIACENZA / PRO PATRIA CRESTS
705,0,SERIE C CRESTS,YES,ND,ND,PRO SESTO / PRO VERCELLI / RENATE / SEREGNO CRESTS
706,0,SERIE C CRESTS,YES,ND,ND,SÜDTIROL / TRENTO / TRIESTINA / VIRTUS VERONA CRESTS
707,0,SERIE C CRESTS,YES,ND,ND,ANCONA-MATELICA / AQUILA MONTEVARCHI / CARRARESE / CESENA CRESTS
708,0,SERIE C CRESTS,YES,ND,ND,FERMANA / GROSSETO / GUBBIO / IMOLESE CRESTS
709,0,SERIE C CRESTS,YES,ND,ND,LUCCHESE / MODENA / OLBIA / PESCARA CRESTS
710,0,SERIE C CRESTS,YES,ND,ND,PISTOIESE / PONTEDERA / REGGIANA / SIENA CRESTS
711,2,SERIE C CRESTS,YES,ND,ND,TERAMO / VIRTUS ENTELLA / VIS PESARO / VITERBESE CRESTS
712,0,SERIE C CRESTS,YES,ND,ND,AVELLINO / BARI / CAMPOBASSO / CATANIA CRESTS
713,0,SERIE C CRESTS,YES,ND,ND,CATANZARO / FIDELIS ANDRIA / FOGGIA / JUVE STABIA CRESTS
714,0,SERIE C CRESTS,YES,ND,ND,LATINA / MESSINA ACR / MONOPOLI / MONTEROSI CRESTS
715,0,SERIE C CRESTS,YES,ND,ND,PAGANESE / PALERMO / PICERNO / POTENZA CRESTS
716,0,SERIE C CRESTS,YES,ND,ND,TARANTO / TURRIS / VIBONESE / VIRTUS FRANCAVILLA CRESTS
A1,1,SPECIAL,YES,ATALANTA,ND,AVATAR SERIE A TIM ATALANTA
A2,1,SPECIAL,YES,BOLOGNA,ND,AVATAR SERIE A TIM BOLOGNA
A3,0,SPECIAL,YES,CAGLIARI,ND,AVATAR SERIE A TIM CAGLIARI
A4,0,SPECIAL,YES,EMPOLI,ND,AVATAR SERIE A TIM EMPOLI
A5,1,SPECIAL,YES,FIORENTINA,ND,AVATAR SERIE A TIM FIORENTINA
A6,0,SPECIAL,YES,GENOA,ND,AVATAR SERIE A TIM GENOA
A7,0,SPECIAL,YES,HELLAS VERONA,ND,AVATAR SERIE A TIM HELLAS VERONA
A8,1,SPECIAL,YES,INTER,ND,AVATAR SERIE A TIM INTER
A9,1,SPECIAL,YES,JUVENTUS,ND,AVATAR SERIE A TIM JUVENTUS
A10,0,SPECIAL,YES,LAZIO,ND,AVATAR SERIE A TIM LAZIO
A11,0,SPECIAL,YES,MILAN,ND,AVATAR SERIE A TIM MILAN
A12,1,SPECIAL,YES,NAPOLI,ND,AVATAR SERIE A TIM NAPOLI
A13,1,SPECIAL,YES,ROMA,ND,AVATAR SERIE A TIM ROMA
A14,0,SPECIAL,YES,SALERNITANA,ND,AVATAR SERIE A TIM SALERNITANA
A15,0,SPECIAL,YES,SAMPDORIA,ND,AVATAR SERIE A TIM SAMPDORIA
A16,0,SPECIAL,YES,SASSUOLO,ND,AVATAR SERIE A TIM SASSUOLO
A17,1,SPECIAL,YES,SPEZIA,ND,AVATAR SERIE A TIM SPEZIA
A18,0,SPECIAL,YES,TORINO,ND,AVATAR SERIE A TIM TORINO
A19,1,SPECIAL,YES,UDINESE,ND,AVATAR SERIE A TIM UDINESE
A20,0,SPECIAL,YES,VENEZIA,ND,AVATAR SERIE A TIM VENEZIA
C1,0,SPECIAL,NO,ND,ND,IL PRIMO GOL DELLA STAGIONE FLIM DEL CAMPIONATO
C2,0,SPECIAL,NO,ND,ND,PARTENZA LANCIATA FLIM DEL CAMPIONATO
C3,1,SPECIAL,NO,ND,ND,RITORNO IN SERIE A TIM FLIM DEL CAMPIONATO
C4,0,SPECIAL,NO,ND,ND,MALDINI PER SEMPRE FLIM DEL CAMPIONATO
