NUMBER,TIMES PULLED,TYPE,SHINY,TEAM,NATION,NAME
525,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO CARNESECCHI / PLIZZARI
526,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO ADJAPONG / BASTONI
527,1,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO BELLANOVA/BETTELLA
528,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO CALAFIORI / DELPRATO
529,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO FRABOTTA / MARCHIZZA
530,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO PELLEGRINI / PIROLA
531,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO TRIPALDELLI / VARNIER
532,1,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO VOGLIACCO/FRATTESI
533,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO LOCATELLI / MELEGONI
534,1,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO TONALI/ZANIOLO
535,1,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO COLOMBO/CUTRONE
536,0,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO KEAN / LUCCA
537,2,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO PELLEGRI/PINAMONTI
538,1,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO RASPADORI/SCAMACCA
539,1,SPECIAL,YES,ND,ND,AZZURRA DA SOGNO TUMMINELLO/VIGNATO
540,0,SPECIAL,YES,ND,ND,TOP PERFORMERS GOSENS / ARNAUTOVIC
541,0,SPECIAL,YES,ND,ND,TOP PERFORMERS CRAGNO / VICARIO
542,0,SPECIAL,YES,ND,ND,TOP PERFORMERS VLAHOVIC / CRISCITO
543,0,SPECIAL,YES,ND,ND,TOP PERFORMERS FARAONI / MARTINEZ
544,1,SPECIAL,YES,ND,ND,TOP PERFORMERS DYBALA / IMMOBILE
545,0,SPECIAL,YES,ND,ND,TOP PERFORMERS KESSIÉ / INSIGNE
546,1,SPECIAL,YES,ND,ND,TOP PERFORMERS PELLEGRINI / RIBERY
547,0,SPECIAL,YES,ND,ND,TOP PERFORMERS AUDERO / BERARDI
548,0,SPECIAL,YES,ND,ND,TOP PERFORMERS NZOLA / BELOTTI
549,0,SPECIAL,YES,ND,ND,TOP PERFORMERS DEULOFEU / CALDARA
550,0,FEM SQUAD,NO,EMPOLI,ND,EMPOLI FEMININE SQUAD
551,1,FEM SQUAD,NO,FIORENTINA,ND,FIORENTINA FEMININE SQUAD
552,0,FEM SQUAD,NO,HELLAS VERONA,ND,HELLAS VERONA FEMININE SQUAD
553,0,FEM SQUAD,NO,INTER,ND,INTER FEMININE SQUAD
554,0,FEM SQUAD,NO,JUVENTUS,ND,JUVENTUS FEMININE SQUAD
555,1,FEM SQUAD,NO,LAZIO,ND,LAZIO FEMININE SQUAD
556,0,FEM SQUAD,NO,MILAN,ND,MILAN FEMININE SQUAD
